"Label","Atlantic County, New Jersey!!Total!!Estimate","Atlantic County, New Jersey!!Below poverty level!!Estimate","Atlantic County, New Jersey!!Percent below poverty level!!Estimate","Bergen County, New Jersey!!Total!!Estimate","Bergen County, New Jersey!!Below poverty level!!Estimate","Bergen County, New Jersey!!Percent below poverty level!!Estimate","Burlington County, New Jersey!!Total!!Estimate","Burlington County, New Jersey!!Below poverty level!!Estimate","Burlington County, New Jersey!!Percent below poverty level!!Estimate","Camden County, New Jersey!!Total!!Estimate","Camden County, New Jersey!!Below poverty level!!Estimate","Camden County, New Jersey!!Percent below poverty level!!Estimate","Cape May County, New Jersey!!Total!!Estimate","Cape May County, New Jersey!!Below poverty level!!Estimate","Cape May County, New Jersey!!Percent below poverty level!!Estimate","Cumberland County, New Jersey!!Total!!Estimate","Cumberland County, New Jersey!!Below poverty level!!Estimate","Cumberland County, New Jersey!!Percent below poverty level!!Estimate","Essex County, New Jersey!!Total!!Estimate","Essex County, New Jersey!!Below poverty level!!Estimate","Essex County, New Jersey!!Percent below poverty level!!Estimate","Gloucester County, New Jersey!!Total!!Estimate","Gloucester County, New Jersey!!Below poverty level!!Estimate","Gloucester County, New Jersey!!Percent below poverty level!!Estimate","Hudson County, New Jersey!!Total!!Estimate","Hudson County, New Jersey!!Below poverty level!!Estimate","Hudson County, New Jersey!!Percent below poverty level!!Estimate","Hunterdon County, New Jersey!!Total!!Estimate","Hunterdon County, New Jersey!!Below poverty level!!Estimate","Hunterdon County, New Jersey!!Percent below poverty level!!Estimate","Mercer County, New Jersey!!Total!!Estimate","Mercer County, New Jersey!!Below poverty level!!Estimate","Mercer County, New Jersey!!Percent below poverty level!!Estimate","Middlesex County, New Jersey!!Total!!Estimate","Middlesex County, New Jersey!!Below poverty level!!Estimate","Middlesex County, New Jersey!!Percent below poverty level!!Estimate","Monmouth County, New Jersey!!Total!!Estimate","Monmouth County, New Jersey!!Below poverty level!!Estimate","Monmouth County, New Jersey!!Percent below poverty level!!Estimate","Morris County, New Jersey!!Total!!Estimate","Morris County, New Jersey!!Below poverty level!!Estimate","Morris County, New Jersey!!Percent below poverty level!!Estimate","Ocean County, New Jersey!!Total!!Estimate","Ocean County, New Jersey!!Below poverty level!!Estimate","Ocean County, New Jersey!!Percent below poverty level!!Estimate","Passaic County, New Jersey!!Total!!Estimate","Passaic County, New Jersey!!Below poverty level!!Estimate","Passaic County, New Jersey!!Percent below poverty level!!Estimate","Salem County, New Jersey!!Total!!Estimate","Salem County, New Jersey!!Below poverty level!!Estimate","Salem County, New Jersey!!Percent below poverty level!!Estimate","Somerset County, New Jersey!!Total!!Estimate","Somerset County, New Jersey!!Below poverty level!!Estimate","Somerset County, New Jersey!!Percent below poverty level!!Estimate","Sussex County, New Jersey!!Total!!Estimate","Sussex County, New Jersey!!Below poverty level!!Estimate","Sussex County, New Jersey!!Percent below poverty level!!Estimate","Union County, New Jersey!!Total!!Estimate","Union County, New Jersey!!Below poverty level!!Estimate","Union County, New Jersey!!Percent below poverty level!!Estimate","Warren County, New Jersey!!Total!!Estimate","Warren County, New Jersey!!Below poverty level!!Estimate","Warren County, New Jersey!!Percent below poverty level!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Below poverty level!!Estimate","New Jersey!!Percent below poverty level!!Estimate"
"        Worked part-time or part-year in the past 12 months","59,726","8,653","14.5%","158,625","11,180","7.0%","87,606","6,412","7.3%","100,597","11,209","11.1%","23,575","2,145","9.1%","27,650","4,899","17.7%","140,824","25,033","17.8%","60,209","6,003","10.0%","112,446","23,565","21.0%","26,013","1,498","5.8%","69,596","8,040","11.6%","140,082","15,525","11.1%","126,610","10,911","8.6%","95,180","5,120","5.4%","113,709","12,106","10.6%","77,344","9,102","11.8%","12,789","1,709","13.4%","58,594","3,698","6.3%","32,201","2,144","6.7%","103,315","11,989","11.6%","22,552","1,937","8.6%","1,649,243","182,878","11.1%"
"        Did not work","73,162","16,377","22.4%","243,475","36,038","14.8%","107,327","12,904","12.0%","132,576","30,861","23.3%","28,915","4,897","16.9%","41,409","10,860","26.2%","210,940","60,466","28.7%","71,504","10,325","14.4%","167,823","51,252","30.5%","27,515","2,314","8.4%","88,296","17,761","20.1%","208,305","32,148","15.4%","160,303","20,057","12.5%","113,745","10,842","9.5%","180,689","24,627","13.6%","144,319","39,868","27.6%","18,619","3,594","19.3%","75,485","7,418","9.8%","33,519","3,805","11.4%","134,070","24,808","18.5%","26,598","3,612","13.6%","2,288,594","424,834","18.6%"
"ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    50 percent of poverty level","17,629","(X)","(X)","32,254","(X)","(X)","13,275","(X)","(X)","32,173","(X)","(X)","4,715","(X)","(X)","11,578","(X)","(X)","60,168","(X)","(X)","10,969","(X)","(X)","51,072","(X)","(X)","2,626","(X)","(X)","19,418","(X)","(X)","32,561","(X)","(X)","20,407","(X)","(X)","10,066","(X)","(X)","28,531","(X)","(X)","38,362","(X)","(X)","4,338","(X)","(X)","7,207","(X)","(X)","3,654","(X)","(X)","26,624","(X)","(X)","3,215","(X)","(X)","430,842","(X)","(X)"
"    125 percent of poverty level","52,080","(X)","(X)","90,761","(X)","(X)","38,608","(X)","(X)","85,550","(X)","(X)","13,411","(X)","(X)","32,274","(X)","(X)","169,871","(X)","(X)","30,071","(X)","(X)","146,919","(X)","(X)","6,566","(X)","(X)","52,585","(X)","(X)","92,806","(X)","(X)","60,285","(X)","(X)","32,975","(X)","(X)","87,906","(X)","(X)","109,167","(X)","(X)","11,143","(X)","(X)","23,012","(X)","(X)","10,889","(X)","(X)","82,512","(X)","(X)","11,131","(X)","(X)","1,240,522","(X)","(X)"
"    150 percent of poverty level","63,494","(X)","(X)","116,608","(X)","(X)","49,495","(X)","(X)","102,976","(X)","(X)","17,520","(X)","(X)","41,200","(X)","(X)","204,838","(X)","(X)","36,740","(X)","(X)","178,125","(X)","(X)","8,929","(X)","(X)","65,031","(X)","(X)","118,970","(X)","(X)","77,525","(X)","(X)","42,622","(X)","(X)","108,865","(X)","(X)","132,750","(X)","(X)","13,346","(X)","(X)","28,858","(X)","(X)","14,148","(X)","(X)","104,717","(X)","(X)","14,447","(X)","(X)","1,541,204","(X)","(X)"
"    185 percent of poverty level","82,772","(X)","(X)","151,672","(X)","(X)","66,393","(X)","(X)","131,621","(X)","(X)","21,908","(X)","(X)","53,050","(X)","(X)","254,322","(X)","(X)","48,508","(X)","(X)","222,106","(X)","(X)","11,358","(X)","(X)","82,522","(X)","(X)","155,502","(X)","(X)","102,620","(X)","(X)","56,949","(X)","(X)","138,721","(X)","(X)","164,845","(X)","(X)","16,591","(X)","(X)","39,223","(X)","(X)","19,776","(X)","(X)","136,601","(X)","(X)","19,073","(X)","(X)","1,976,133","(X)","(X)"
"    200 percent of poverty level","89,874","(X)","(X)","167,223","(X)","(X)","75,198","(X)","(X)","142,520","(X)","(X)","24,354","(X)","(X)","57,562","(X)","(X)","272,910","(X)","(X)","53,744","(X)","(X)","239,361","(X)","(X)","13,059","(X)","(X)","88,786","(X)","(X)","171,345","(X)","(X)","112,228","(X)","(X)","62,673","(X)","(X)","151,675","(X)","(X)","176,798","(X)","(X)","17,949","(X)","(X)","43,030","(X)","(X)","22,308","(X)","(X)","149,687","(X)","(X)","20,657","(X)","(X)","2,152,941","(X)","(X)"
"    300 percent of poverty level","135,032","(X)","(X)","273,589","(X)","(X)","136,501","(X)","(X)","216,520","(X)","(X)","39,602","(X)","(X)","81,887","(X)","(X)","383,385","(X)","(X)","94,275","(X)","(X)","340,702","(X)","(X)","23,587","(X)","(X)","133,464","(X)","(X)","271,058","(X)","(X)","180,642","(X)","(X)","107,293","(X)","(X)","243,078","(X)","(X)","248,682","(X)","(X)","26,821","(X)","(X)","77,840","(X)","(X)","38,910","(X)","(X)","226,071","(X)","(X)","36,712","(X)","(X)","3,315,651","(X)","(X)"
"    400 percent of poverty level","172,227","(X)","(X)","376,373","(X)","(X)","197,931","(X)","(X)","290,256","(X)","(X)","52,246","(X)","(X)","100,906","(X)","(X)","467,356","(X)","(X)","134,182","(X)","(X)","414,064","(X)","(X)","36,722","(X)","(X)","171,883","(X)","(X)","376,281","(X)","(X)","251,601","(X)","(X)","161,191","(X)","(X)","321,858","(X)","(X)","306,401","(X)","(X)","36,468","(X)","(X)","112,147","(X)","(X)","58,559","(X)","(X)","290,452","(X)","(X)","52,908","(X)","(X)","4,382,012","(X)","(X)"
"    500 percent of poverty level","201,505","(X)","(X)","476,118","(X)","(X)","254,726","(X)","(X)","350,138","(X)","(X)","64,478","(X)","(X)","115,985","(X)","(X)","536,121","(X)","(X)","173,406","(X)","(X)","474,348","(X)","(X)","50,916","(X)","(X)","207,996","(X)","(X)","473,175","(X)","(X)","320,517","(X)","(X)","216,905","(X)","(X)","392,364","(X)","(X)","356,472","(X)","(X)","44,364","(X)","(X)","148,769","(X)","(X)","79,058","(X)","(X)","346,654","(X)","(X)","65,908","(X)","(X)","5,349,923","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","49,600","12,396","25.0%","125,618","23,180","18.5%","68,276","10,810","15.8%","85,693","20,043","23.4%","19,239","4,065","21.1%","26,030","7,573","29.1%","142,946","40,519","28.3%","41,529","9,573","23.1%","151,499","34,606","22.8%","17,021","2,387","14.0%","60,794","14,523","23.9%","113,663","24,136","21.2%","95,585","16,843","17.6%","70,141","9,486","13.5%","95,537","16,331","17.1%","65,902","17,480","26.5%","11,151","2,854","25.6%","43,043","6,120","14.2%","20,724","3,472","16.8%","82,616","18,695","22.6%","17,446","2,938","16.8%","1,404,053","298,030","21.2%"
"    Male","24,830","6,272","25.3%","57,234","8,956","15.6%","30,603","4,868","15.9%","39,939","8,535","21.4%","8,809","1,767","20.1%","12,233","3,209","26.2%","70,313","18,048","25.7%","19,520","4,243","21.7%","82,040","15,468","18.9%","7,795","972","12.5%","29,103","6,851","23.5%","53,678","10,062","18.7%","43,406","6,772","15.6%","32,056","3,746","11.7%","39,962","6,265","15.7%","31,722","7,082","22.3%","5,376","1,244","23.1%","19,478","2,895","14.9%","10,484","1,747","16.7%","39,705","7,691","19.4%","8,366","1,351","16.1%","666,652","128,044","19.2%"
"    Female","24,770","6,124","24.7%","68,384","14,224","20.8%","37,673","5,942","15.8%","45,754","11,508","25.2%","10,430","2,298","22.0%","13,797","4,364","31.6%","72,633","22,471","30.9%","22,009","5,330","24.2%","69,459","19,138","27.6%","9,226","1,415","15.3%","31,691","7,672","24.2%","59,985","14,074","23.5%","52,179","10,071","19.3%","38,085","5,740","15.1%","55,575","10,066","18.1%","34,180","10,398","30.4%","5,775","1,610","27.9%","23,565","3,225","13.7%","10,240","1,725","16.8%","42,911","11,004","25.6%","9,080","1,587","17.5%","737,401","169,986","23.1%"
"15 years","79","79","100.0%","63","63","100.0%","123","123","100.0%","152","152","100.0%","15","15","100.0%","20","20","100.0%","165","165","100.0%","27","27","100.0%","81","81","100.0%","58","58","100.0%","137","137","100.0%","81","75","92.6%","44","44","100.0%","93","93","100.0%","219","190","86.8%","14","14","100.0%","15","15","100.0%","66","66","100.0%","28","28","100.0%","101","101","100.0%","23","15","65.2%","1,604","1,561","97.3%"
"16 to 17 years","205","183","89.3%","205","205","100.0%","223","204","91.5%","300","300","100.0%","118","50","42.4%","78","78","100.0%","298","298","100.0%","241","205","85.1%","268","268","100.0%","0","0","-","113","104","92.0%","231","231","100.0%","203","185","91.1%","134","134","100.0%","415","400","96.4%","104","98","94.2%","20","20","100.0%","47","47","100.0%","85","85","100.0%","174","174","100.0%","43","40","93.0%","3,505","3,309","94.4%"
"18 to 24 years","3,279","1,569","47.8%","4,706","1,903","40.4%","3,791","1,100","29.0%","5,169","2,281","44.1%","894","351","39.3%","2,014","897","44.5%","9,399","5,174","55.0%","4,195","2,858","68.1%","11,964","5,909","49.4%","539","186","34.5%","4,730","2,557","54.1%","10,413","6,537","62.8%","4,890","2,208","45.2%","3,078","1,323","43.0%","4,035","1,909","47.3%","2,727","1,535","56.3%","694","401","57.8%","1,837","948","51.6%","1,206","490","40.6%","4,601","2,286","49.7%","1,097","486","44.3%","85,258","42,908","50.3%"
"25 to 34 years","7,937","1,979","24.9%","21,343","3,244","15.2%","12,750","2,302","18.1%","17,577","3,316","18.9%","2,601","688","26.5%","4,478","1,272","28.4%","27,713","7,278","26.3%","7,182","1,486","20.7%","51,011","7,703","15.1%","2,389","458","19.2%","11,597","2,574","22.2%","23,630","3,725","15.8%","16,254","3,072","18.9%","13,077","1,509","11.5%","12,674","2,045","16.1%","11,024","2,783","25.2%","1,593","474","29.8%","7,278","774","10.6%","3,252","598","18.4%","15,298","3,476","22.7%","2,919","394","13.5%","273,577","51,150","18.7%"
"35 to 44 years","6,030","1,323","21.9%","17,589","2,988","17.0%","7,509","1,148","15.3%","10,469","2,637","25.2%","1,648","359","21.8%","3,224","1,095","34.0%","23,090","5,802","25.1%","4,677","1,037","22.2%","24,424","4,100","16.8%","2,066","372","18.0%","7,750","1,724","22.2%","15,553","2,793","18.0%","11,646","1,767","15.2%","9,555","1,094","11.4%","8,346","1,594","19.1%","10,054","2,334","23.2%","1,277","305","23.9%","5,477","667","12.2%","2,405","409","17.0%","13,027","2,762","21.2%","1,693","189","11.2%","187,509","36,499","19.5%"
"45 to 54 years","8,990","2,502","27.8%","19,352","3,793","19.6%","12,246","2,201","18.0%","15,001","3,561","23.7%","3,179","783","24.6%","4,050","1,165","28.8%","25,431","6,786","26.7%","6,868","1,214","17.7%","22,086","5,003","22.7%","2,932","472","16.1%","9,921","2,406","24.3%","17,429","2,899","16.6%","15,473","2,862","18.5%","12,154","1,423","11.7%","12,540","2,229","17.8%","11,872","3,172","26.7%","2,048","519","25.3%","7,451","1,048","14.1%","3,992","682","17.1%","14,617","3,133","21.4%","3,309","573","17.3%","230,941","48,426","21.0%"
"55 to 64 years","9,480","2,333","24.6%","22,766","4,094","18.0%","11,524","1,600","13.9%","14,380","3,513","24.4%","3,722","689","18.5%","5,193","1,553","29.9%","23,548","6,632","28.2%","6,848","1,193","17.4%","18,350","4,495","24.5%","3,465","423","12.2%","10,919","2,399","22.0%","17,435","3,359","19.3%","17,888","2,855","16.0%","10,619","1,370","12.9%","14,831","2,836","19.1%","12,094","3,242","26.8%","2,074","608","29.3%","8,463","1,007","11.9%","4,378","657","15.0%","13,592","2,988","22.0%","3,518","730","20.8%","235,087","48,576","20.7%"
"65 to 74 years","6,889","1,279","18.6%","16,149","2,373","14.7%","9,184","908","9.9%","10,965","2,073","18.9%","3,092","422","13.6%","3,667","685","18.7%","16,994","4,451","26.2%","5,325","715","13.4%","11,844","3,236","27.3%","3,042","156","5.1%","7,007","1,228","17.5%","13,085","2,143","16.4%","12,774","1,489","11.7%","9,388","1,082","11.5%","17,183","2,179","12.7%","8,406","2,028","24.1%","1,624","253","15.6%","6,084","734","12.1%","2,674","221","8.3%","9,926","1,695","17.1%","2,260","171","7.6%","177,562","29,521","16.6%"
"75 years and over","6,711","1,149","17.1%","23,445","4,517","19.3%","10,926","1,224","11.2%","11,680","2,210","18.9%","3,970","708","17.8%","3,306","808","24.4%","16,308","3,933","24.1%","6,166","838","13.6%","11,471","3,811","33.2%","2,530","262","10.4%","8,620","1,394","16.2%","15,806","2,374","15.0%","16,413","2,361","14.4%","12,043","1,458","12.1%","25,294","2,949","11.7%","9,607","2,274","23.7%","1,806","259","14.3%","6,340","829","13.1%","2,704","302","11.2%","11,280","2,080","18.4%","2,584","340","13.2%","209,010","36,080","17.3%"
"Mean income deficit for unrelated individuals (dollars)","6,706","(X)","(X)","6,860","(X)","(X)","6,836","(X)","(X)","6,744","(X)","(X)","5,931","(X)","(X)","6,185","(X)","(X)","6,663","(X)","(X)","7,040","(X)","(X)","7,147","(X)","(X)","6,762","(X)","(X)","6,904","(X)","(X)","7,583","(X)","(X)","6,597","(X)","(X)","7,033","(X)","(X)","6,335","(X)","(X)","6,888","(X)","(X)","6,521","(X)","(X)","6,143","(X)","(X)","6,563","(X)","(X)","6,723","(X)","(X)","7,209","(X)","(X)","6,824","(X)","(X)"
"Worked full-time, year-round in the past 12 months","18,588","813","4.4%","59,216","1,560","2.6%","30,596","333","1.1%","36,090","852","2.4%","5,936","98","1.7%","9,792","405","4.1%","59,806","1,930","3.2%","16,037","333","2.1%","83,363","1,953","2.3%","7,605","183","2.4%","25,336","596","2.4%","52,174","798","1.5%","40,264","901","2.2%","34,432","408","1.2%","29,997","718","2.4%","28,432","695","2.4%","3,781","155","4.1%","21,862","504","2.3%","8,977","160","1.8%","36,166","1,252","3.5%","7,211","125","1.7%","615,661","14,772","2.4%"
"Worked less than full-time, year-round in the past 12 months","12,012","3,540","29.5%","20,904","4,583","21.9%","13,697","3,295","24.1%","16,008","4,360","27.2%","4,692","1,144","24.4%","4,976","1,959","39.4%","29,550","10,133","34.3%","9,446","3,220","34.1%","27,562","8,978","32.6%","3,597","731","20.3%","12,547","4,249","33.9%","22,416","7,455","33.3%","19,835","5,345","26.9%","12,791","2,794","21.8%","17,153","3,914","22.8%","10,628","3,030","28.5%","2,505","872","34.8%","7,857","1,982","25.2%","4,655","1,146","24.6%","17,780","5,617","31.6%","3,828","815","21.3%","274,439","79,162","28.8%"
"Did not work","19,000","8,043","42.3%","45,498","17,037","37.4%","23,983","7,182","29.9%","33,595","14,831","44.1%","8,611","2,823","32.8%","11,262","5,209","46.3%","53,590","28,456","53.1%","16,046","6,020","37.5%","40,574","23,675","58.4%","5,819","1,473","25.3%","22,911","9,678","42.2%","39,073","15,883","40.6%","35,486","10,597","29.9%","22,918","6,284","27.4%","48,387","11,699","24.2%","26,842","13,755","51.2%","4,865","1,827","37.6%","13,324","3,634","27.3%","7,092","2,166","30.5%","28,670","11,826","41.2%","6,407","1,998","31.2%","513,953","204,096","39.7%"
