"Label","Atlantic County, New Jersey!!Total!!Estimate","Atlantic County, New Jersey!!Below poverty level!!Estimate","Atlantic County, New Jersey!!Percent below poverty level!!Estimate","Bergen County, New Jersey!!Total!!Estimate","Bergen County, New Jersey!!Below poverty level!!Estimate","Bergen County, New Jersey!!Percent below poverty level!!Estimate","Burlington County, New Jersey!!Total!!Estimate","Burlington County, New Jersey!!Below poverty level!!Estimate","Burlington County, New Jersey!!Percent below poverty level!!Estimate","Camden County, New Jersey!!Total!!Estimate","Camden County, New Jersey!!Below poverty level!!Estimate","Camden County, New Jersey!!Percent below poverty level!!Estimate","Cape May County, New Jersey!!Total!!Estimate","Cape May County, New Jersey!!Below poverty level!!Estimate","Cape May County, New Jersey!!Percent below poverty level!!Estimate","Cumberland County, New Jersey!!Total!!Estimate","Cumberland County, New Jersey!!Below poverty level!!Estimate","Cumberland County, New Jersey!!Percent below poverty level!!Estimate","Essex County, New Jersey!!Total!!Estimate","Essex County, New Jersey!!Below poverty level!!Estimate","Essex County, New Jersey!!Percent below poverty level!!Estimate","Gloucester County, New Jersey!!Total!!Estimate","Gloucester County, New Jersey!!Below poverty level!!Estimate","Gloucester County, New Jersey!!Percent below poverty level!!Estimate","Hudson County, New Jersey!!Total!!Estimate","Hudson County, New Jersey!!Below poverty level!!Estimate","Hudson County, New Jersey!!Percent below poverty level!!Estimate","Hunterdon County, New Jersey!!Total!!Estimate","Hunterdon County, New Jersey!!Below poverty level!!Estimate","Hunterdon County, New Jersey!!Percent below poverty level!!Estimate","Mercer County, New Jersey!!Total!!Estimate","Mercer County, New Jersey!!Below poverty level!!Estimate","Mercer County, New Jersey!!Percent below poverty level!!Estimate","Middlesex County, New Jersey!!Total!!Estimate","Middlesex County, New Jersey!!Below poverty level!!Estimate","Middlesex County, New Jersey!!Percent below poverty level!!Estimate","Monmouth County, New Jersey!!Total!!Estimate","Monmouth County, New Jersey!!Below poverty level!!Estimate","Monmouth County, New Jersey!!Percent below poverty level!!Estimate","Morris County, New Jersey!!Total!!Estimate","Morris County, New Jersey!!Below poverty level!!Estimate","Morris County, New Jersey!!Percent below poverty level!!Estimate","Ocean County, New Jersey!!Total!!Estimate","Ocean County, New Jersey!!Below poverty level!!Estimate","Ocean County, New Jersey!!Percent below poverty level!!Estimate","Passaic County, New Jersey!!Total!!Estimate","Passaic County, New Jersey!!Below poverty level!!Estimate","Passaic County, New Jersey!!Percent below poverty level!!Estimate","Salem County, New Jersey!!Total!!Estimate","Salem County, New Jersey!!Below poverty level!!Estimate","Salem County, New Jersey!!Percent below poverty level!!Estimate","Somerset County, New Jersey!!Total!!Estimate","Somerset County, New Jersey!!Below poverty level!!Estimate","Somerset County, New Jersey!!Percent below poverty level!!Estimate","Sussex County, New Jersey!!Total!!Estimate","Sussex County, New Jersey!!Below poverty level!!Estimate","Sussex County, New Jersey!!Percent below poverty level!!Estimate","Union County, New Jersey!!Total!!Estimate","Union County, New Jersey!!Below poverty level!!Estimate","Union County, New Jersey!!Percent below poverty level!!Estimate","Warren County, New Jersey!!Total!!Estimate","Warren County, New Jersey!!Below poverty level!!Estimate","Warren County, New Jersey!!Percent below poverty level!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Below poverty level!!Estimate","New Jersey!!Percent below poverty level!!Estimate"
"            Worked part-time or part-year in the past 12 months","57,735","8,577","14.9%","164,183","11,641","7.1%","86,464","6,579","7.6%","99,704","12,237","12.3%","22,154","2,261","10.2%","27,189","4,978","18.3%","143,129","25,291","17.7%","60,325","6,441","10.7%","115,314","23,259","20.2%","24,876","1,282","5.2%","69,608","8,218","11.8%","139,031","14,966","10.8%","128,246","11,297","8.8%","95,454","5,323","5.6%","113,298","11,340","10.0%","78,729","10,321","13.1%","12,001","1,688","14.1%","58,248","3,443","5.9%","29,964","1,693","5.7%","101,444","11,078","10.9%","23,037","2,147","9.3%","1,650,133","184,060","11.2%"
"            Did not work","73,904","15,864","21.5%","242,621","35,435","14.6%","107,268","12,842","12.0%","128,490","29,707","23.1%","29,215","5,116","17.5%","41,284","11,367","27.5%","208,939","58,729","28.1%","70,395","9,502","13.5%","168,173","51,424","30.6%","28,374","2,638","9.3%","91,000","18,152","19.9%","207,532","31,597","15.2%","156,815","20,512","13.1%","114,379","11,359","9.9%","179,382","24,814","13.8%","141,409","39,035","27.6%","18,124","3,473","19.2%","76,568","7,508","9.8%","33,982","3,908","11.5%","135,277","24,384","18.0%","26,286","3,647","13.9%","2,279,417","421,013","18.5%"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        50 percent of poverty level","16,461","(X)","(X)","31,103","(X)","(X)","14,368","(X)","(X)","30,570","(X)","(X)","4,537","(X)","(X)","12,448","(X)","(X)","57,887","(X)","(X)","10,349","(X)","(X)","49,857","(X)","(X)","2,606","(X)","(X)","18,953","(X)","(X)","32,489","(X)","(X)","20,253","(X)","(X)","10,059","(X)","(X)","26,082","(X)","(X)","36,787","(X)","(X)","4,415","(X)","(X)","7,052","(X)","(X)","3,923","(X)","(X)","24,910","(X)","(X)","3,633","(X)","(X)","418,742","(X)","(X)"
"        125 percent of poverty level","51,892","(X)","(X)","89,334","(X)","(X)","37,266","(X)","(X)","84,480","(X)","(X)","13,201","(X)","(X)","35,204","(X)","(X)","168,306","(X)","(X)","29,441","(X)","(X)","146,025","(X)","(X)","6,750","(X)","(X)","54,162","(X)","(X)","91,516","(X)","(X)","61,261","(X)","(X)","33,228","(X)","(X)","86,190","(X)","(X)","110,856","(X)","(X)","11,330","(X)","(X)","22,054","(X)","(X)","10,138","(X)","(X)","80,533","(X)","(X)","11,321","(X)","(X)","1,234,488","(X)","(X)"
"        150 percent of poverty level","62,930","(X)","(X)","114,736","(X)","(X)","47,594","(X)","(X)","102,553","(X)","(X)","16,607","(X)","(X)","43,176","(X)","(X)","202,347","(X)","(X)","36,162","(X)","(X)","176,058","(X)","(X)","8,822","(X)","(X)","65,922","(X)","(X)","114,513","(X)","(X)","77,212","(X)","(X)","41,450","(X)","(X)","107,156","(X)","(X)","134,526","(X)","(X)","13,427","(X)","(X)","26,863","(X)","(X)","13,144","(X)","(X)","102,946","(X)","(X)","14,278","(X)","(X)","1,522,422","(X)","(X)"
"        185 percent of poverty level","80,887","(X)","(X)","148,682","(X)","(X)","63,909","(X)","(X)","131,064","(X)","(X)","20,890","(X)","(X)","53,585","(X)","(X)","252,185","(X)","(X)","47,753","(X)","(X)","221,364","(X)","(X)","11,040","(X)","(X)","85,670","(X)","(X)","150,764","(X)","(X)","100,236","(X)","(X)","55,342","(X)","(X)","137,688","(X)","(X)","162,167","(X)","(X)","16,397","(X)","(X)","36,791","(X)","(X)","19,329","(X)","(X)","133,463","(X)","(X)","19,129","(X)","(X)","1,948,335","(X)","(X)"
"        200 percent of poverty level","87,464","(X)","(X)","163,465","(X)","(X)","72,389","(X)","(X)","141,758","(X)","(X)","23,092","(X)","(X)","58,508","(X)","(X)","268,809","(X)","(X)","52,672","(X)","(X)","238,567","(X)","(X)","12,455","(X)","(X)","91,307","(X)","(X)","165,804","(X)","(X)","108,748","(X)","(X)","60,405","(X)","(X)","150,766","(X)","(X)","174,266","(X)","(X)","17,470","(X)","(X)","40,501","(X)","(X)","21,565","(X)","(X)","147,158","(X)","(X)","20,595","(X)","(X)","2,117,764","(X)","(X)"
"        300 percent of poverty level","130,755","(X)","(X)","262,463","(X)","(X)","131,827","(X)","(X)","211,028","(X)","(X)","37,430","(X)","(X)","83,753","(X)","(X)","377,155","(X)","(X)","91,552","(X)","(X)","342,779","(X)","(X)","21,874","(X)","(X)","135,934","(X)","(X)","267,282","(X)","(X)","175,851","(X)","(X)","104,511","(X)","(X)","240,156","(X)","(X)","244,477","(X)","(X)","26,209","(X)","(X)","75,018","(X)","(X)","39,506","(X)","(X)","223,655","(X)","(X)","35,384","(X)","(X)","3,258,599","(X)","(X)"
"        400 percent of poverty level","167,198","(X)","(X)","362,814","(X)","(X)","193,291","(X)","(X)","280,855","(X)","(X)","50,042","(X)","(X)","101,288","(X)","(X)","461,085","(X)","(X)","128,617","(X)","(X)","417,490","(X)","(X)","33,449","(X)","(X)","173,143","(X)","(X)","368,649","(X)","(X)","240,759","(X)","(X)","151,265","(X)","(X)","316,533","(X)","(X)","303,698","(X)","(X)","34,351","(X)","(X)","108,535","(X)","(X)","57,944","(X)","(X)","290,451","(X)","(X)","49,913","(X)","(X)","4,291,370","(X)","(X)"
"        500 percent of poverty level","195,526","(X)","(X)","463,163","(X)","(X)","246,787","(X)","(X)","339,326","(X)","(X)","62,576","(X)","(X)","115,294","(X)","(X)","532,688","(X)","(X)","167,937","(X)","(X)","475,836","(X)","(X)","45,970","(X)","(X)","208,483","(X)","(X)","464,246","(X)","(X)","306,652","(X)","(X)","200,939","(X)","(X)","387,237","(X)","(X)","355,236","(X)","(X)","42,199","(X)","(X)","144,929","(X)","(X)","77,596","(X)","(X)","346,664","(X)","(X)","63,287","(X)","(X)","5,242,571","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","49,504","12,205","24.7%","127,003","23,634","18.6%","67,216","10,567","15.7%","86,560","20,352","23.5%","18,264","3,834","21.0%","26,294","8,204","31.2%","143,813","40,702","28.3%","43,067","9,421","21.9%","155,741","37,792","24.3%","16,778","2,544","15.2%","61,678","14,569","23.6%","110,664","23,995","21.7%","96,809","17,869","18.5%","70,169","10,111","14.4%","96,902","17,153","17.7%","67,931","19,116","28.1%","11,680","2,689","23.0%","44,129","6,606","15.0%","21,209","3,341","15.8%","81,025","18,592","22.9%","18,024","3,163","17.5%","1,414,460","306,459","21.7%"
"    Male","23,874","5,861","24.5%","57,901","9,508","16.4%","30,191","4,711","15.6%","40,721","8,569","21.0%","8,585","1,716","20.0%","12,287","3,422","27.9%","70,249","18,259","26.0%","19,904","4,056","20.4%","83,049","16,967","20.4%","7,751","1,186","15.3%","29,932","6,832","22.8%","53,004","10,123","19.1%","44,508","7,378","16.6%","32,504","4,033","12.4%","40,760","6,380","15.7%","33,021","8,095","24.5%","5,479","1,216","22.2%","20,044","3,144","15.7%","10,432","1,609","15.4%","38,312","7,265","19.0%","8,770","1,435","16.4%","671,278","131,765","19.6%"
"    Female","25,630","6,344","24.8%","69,102","14,126","20.4%","37,025","5,856","15.8%","45,839","11,783","25.7%","9,679","2,118","21.9%","14,007","4,782","34.1%","73,564","22,443","30.5%","23,163","5,365","23.2%","72,692","20,825","28.6%","9,027","1,358","15.0%","31,746","7,737","24.4%","57,660","13,872","24.1%","52,301","10,491","20.1%","37,665","6,078","16.1%","56,142","10,773","19.2%","34,910","11,021","31.6%","6,201","1,473","23.8%","24,085","3,462","14.4%","10,777","1,732","16.1%","42,713","11,327","26.5%","9,254","1,728","18.7%","743,182","174,694","23.5%"
"    15 years","111","111","100.0%","65","65","100.0%","124","124","100.0%","117","117","100.0%","15","15","100.0%","0","0","-","145","145","100.0%","75","75","100.0%","217","217","100.0%","67","67","100.0%","158","158","100.0%","42","42","100.0%","18","18","100.0%","52","52","100.0%","150","138","92.0%","66","59","89.4%","37","37","100.0%","68","68","100.0%","28","28","100.0%","62","62","100.0%","27","13","48.1%","1,644","1,611","98.0%"
"    16 to 17 years","191","178","93.2%","241","241","100.0%","210","199","94.8%","296","296","100.0%","47","47","100.0%","97","97","100.0%","283","283","100.0%","129","129","100.0%","328","328","100.0%","15","15","100.0%","145","98","67.6%","289","289","100.0%","240","222","92.5%","92","92","100.0%","275","252","91.6%","147","132","89.8%","27","27","100.0%","21","21","100.0%","64","64","100.0%","166","161","97.0%","45","41","91.1%","3,348","3,212","95.9%"
"    18 to 24 years","3,018","1,507","49.9%","5,124","1,836","35.8%","3,578","1,131","31.6%","5,714","2,531","44.3%","700","146","20.9%","1,926","1,006","52.2%","8,469","4,840","57.1%","3,837","2,585","67.4%","12,561","6,265","49.9%","624","267","42.8%","4,902","2,566","52.3%","9,454","5,983","63.3%","4,739","2,287","48.3%","3,730","1,548","41.5%","3,575","1,558","43.6%","3,269","1,712","52.4%","888","331","37.3%","2,168","1,108","51.1%","931","380","40.8%","3,760","1,969","52.4%","1,240","529","42.7%","84,207","42,085","50.0%"
"    25 to 34 years","7,405","1,700","23.0%","21,894","3,548","16.2%","12,087","1,779","14.7%","16,843","3,245","19.3%","2,504","549","21.9%","4,409","1,302","29.5%","27,784","6,902","24.8%","7,891","1,380","17.5%","51,874","7,876","15.2%","2,094","374","17.9%","11,987","2,461","20.5%","22,137","3,710","16.8%","15,849","2,780","17.5%","13,102","1,538","11.7%","12,988","2,059","15.9%","11,997","3,129","26.1%","1,821","408","22.4%","6,771","801","11.8%","3,484","502","14.4%","14,518","3,481","24.0%","3,046","440","14.4%","272,485","49,964","18.3%"
"    35 to 44 years","5,534","1,602","28.9%","17,310","3,189","18.4%","6,931","1,200","17.3%","10,650","2,547","23.9%","1,660","441","26.6%","3,421","1,258","36.8%","23,968","5,622","23.5%","4,421","894","20.2%","24,901","4,529","18.2%","1,870","282","15.1%","7,519","1,652","22.0%","13,836","2,270","16.4%","10,932","2,057","18.8%","8,345","909","10.9%","8,612","1,628","18.9%","9,487","2,473","26.1%","1,351","335","24.8%","4,979","728","14.6%","2,355","399","16.9%","12,703","2,660","20.9%","1,680","235","14.0%","182,465","36,910","20.2%"
"    45 to 54 years","8,145","2,213","27.2%","19,148","3,439","18.0%","11,608","2,201","19.0%","14,697","3,339","22.7%","2,806","701","25.0%","4,056","1,202","29.6%","23,540","6,338","26.9%","7,260","1,409","19.4%","21,827","5,228","24.0%","2,688","444","16.5%","9,249","2,330","25.2%","16,622","2,889","17.4%","15,557","2,932","18.8%","11,782","1,563","13.3%","11,651","2,494","21.4%","12,009","3,187","26.5%","1,960","425","21.7%","7,569","1,070","14.1%","3,944","642","16.3%","13,235","2,824","21.3%","2,981","538","18.0%","222,334","47,408","21.3%"
"    55 to 64 years","9,751","2,347","24.1%","22,522","4,183","18.6%","12,097","1,747","14.4%","14,905","3,867","25.9%","3,548","696","19.6%","5,460","1,787","32.7%","24,634","7,555","30.7%","7,586","1,401","18.5%","18,413","4,907","26.6%","3,609","571","15.8%","11,448","2,621","22.9%","18,200","3,576","19.6%","18,485","3,356","18.2%","11,689","1,525","13.0%","16,043","3,284","20.5%","11,883","3,646","30.7%","2,068","577","27.9%","8,856","1,287","14.5%","4,460","718","16.1%","14,120","3,167","22.4%","3,677","804","21.9%","243,454","53,622","22.0%"
"    65 to 74 years","8,070","1,356","16.8%","16,861","2,779","16.5%","9,637","974","10.1%","11,692","2,058","17.6%","3,244","519","16.0%","3,778","744","19.7%","18,189","5,057","27.8%","5,789","844","14.6%","13,421","3,874","28.9%","3,046","230","7.6%","7,656","1,233","16.1%","13,862","2,355","17.0%","13,950","1,724","12.4%","9,822","1,264","12.9%","18,154","2,406","13.3%","9,276","2,579","27.8%","1,760","284","16.1%","6,828","649","9.5%","3,097","295","9.5%","11,107","2,144","19.3%","2,772","221","8.0%","192,011","33,589","17.5%"
"    75 years and over","7,279","1,191","16.4%","23,838","4,354","18.3%","10,944","1,212","11.1%","11,646","2,352","20.2%","3,740","720","19.3%","3,147","808","25.7%","16,801","3,960","23.6%","6,079","704","11.6%","12,199","4,568","37.4%","2,765","294","10.6%","8,614","1,450","16.8%","16,222","2,881","17.8%","17,039","2,493","14.6%","11,555","1,620","14.0%","25,454","3,334","13.1%","9,797","2,199","22.4%","1,768","265","15.0%","6,869","874","12.7%","2,846","313","11.0%","11,354","2,124","18.7%","2,556","342","13.4%","212,512","38,058","17.9%"
"    Mean income deficit for unrelated individuals (dollars)","6,566","(X)","(X)","6,890","(X)","(X)","7,166","(X)","(X)","6,809","(X)","(X)","5,999","(X)","(X)","6,125","(X)","(X)","6,861","(X)","(X)","7,154","(X)","(X)","7,311","(X)","(X)","6,999","(X)","(X)","7,042","(X)","(X)","7,726","(X)","(X)","6,666","(X)","(X)","7,182","(X)","(X)","6,308","(X)","(X)","7,008","(X)","(X)","6,458","(X)","(X)","6,834","(X)","(X)","7,136","(X)","(X)","6,866","(X)","(X)","6,936","(X)","(X)","6,947","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","17,923","825","4.6%","59,034","1,420","2.4%","30,686","503","1.6%","36,408","955","2.6%","5,922","126","2.1%","9,483","388","4.1%","61,246","1,815","3.0%","17,229","462","2.7%","85,253","2,228","2.6%","7,421","219","3.0%","25,646","592","2.3%","49,763","897","1.8%","40,698","1,116","2.7%","34,906","651","1.9%","31,499","1,092","3.5%","30,093","955","3.2%","4,504","164","3.6%","22,109","789","3.6%","9,920","134","1.4%","36,270","1,479","4.1%","7,592","159","2.1%","623,605","16,969","2.7%"
"    Worked less than full-time, year-round in the past 12 months","11,482","3,465","30.2%","22,440","5,221","23.3%","12,776","2,950","23.1%","16,910","4,963","29.3%","4,246","1,062","25.0%","5,313","2,155","40.6%","29,407","10,373","35.3%","9,683","3,386","35.0%","28,203","9,786","34.7%","3,148","664","21.1%","12,849","4,270","33.2%","22,206","7,667","34.5%","19,855","5,532","27.9%","12,909","2,722","21.1%","16,940","4,125","24.4%","11,042","3,724","33.7%","2,273","724","31.9%","7,582","1,714","22.6%","4,066","1,003","24.7%","15,943","5,038","31.6%","4,128","1,008","24.4%","273,401","81,552","29.8%"
"    Did not work","20,099","7,915","39.4%","45,529","16,993","37.3%","23,754","7,114","29.9%","33,242","14,434","43.4%","8,096","2,646","32.7%","11,498","5,661","49.2%","53,160","28,514","53.6%","16,155","5,573","34.5%","42,285","25,778","61.0%","6,209","1,661","26.8%","23,183","9,707","41.9%","38,695","15,431","39.9%","36,256","11,221","30.9%","22,354","6,738","30.1%","48,463","11,936","24.6%","26,796","14,437","53.9%","4,903","1,801","36.7%","14,438","4,103","28.4%","7,223","2,204","30.5%","28,812","12,075","41.9%","6,304","1,996","31.7%","517,454","207,938","40.2%"
