"Label","Atlantic County, New Jersey!!Total!!Estimate","Atlantic County, New Jersey!!Below poverty level!!Estimate","Atlantic County, New Jersey!!Percent below poverty level!!Estimate","Bergen County, New Jersey!!Total!!Estimate","Bergen County, New Jersey!!Below poverty level!!Estimate","Bergen County, New Jersey!!Percent below poverty level!!Estimate","Burlington County, New Jersey!!Total!!Estimate","Burlington County, New Jersey!!Below poverty level!!Estimate","Burlington County, New Jersey!!Percent below poverty level!!Estimate","Camden County, New Jersey!!Total!!Estimate","Camden County, New Jersey!!Below poverty level!!Estimate","Camden County, New Jersey!!Percent below poverty level!!Estimate","Cape May County, New Jersey!!Total!!Estimate","Cape May County, New Jersey!!Below poverty level!!Estimate","Cape May County, New Jersey!!Percent below poverty level!!Estimate","Cumberland County, New Jersey!!Total!!Estimate","Cumberland County, New Jersey!!Below poverty level!!Estimate","Cumberland County, New Jersey!!Percent below poverty level!!Estimate","Essex County, New Jersey!!Total!!Estimate","Essex County, New Jersey!!Below poverty level!!Estimate","Essex County, New Jersey!!Percent below poverty level!!Estimate","Gloucester County, New Jersey!!Total!!Estimate","Gloucester County, New Jersey!!Below poverty level!!Estimate","Gloucester County, New Jersey!!Percent below poverty level!!Estimate","Hudson County, New Jersey!!Total!!Estimate","Hudson County, New Jersey!!Below poverty level!!Estimate","Hudson County, New Jersey!!Percent below poverty level!!Estimate","Hunterdon County, New Jersey!!Total!!Estimate","Hunterdon County, New Jersey!!Below poverty level!!Estimate","Hunterdon County, New Jersey!!Percent below poverty level!!Estimate","Mercer County, New Jersey!!Total!!Estimate","Mercer County, New Jersey!!Below poverty level!!Estimate","Mercer County, New Jersey!!Percent below poverty level!!Estimate","Middlesex County, New Jersey!!Total!!Estimate","Middlesex County, New Jersey!!Below poverty level!!Estimate","Middlesex County, New Jersey!!Percent below poverty level!!Estimate","Monmouth County, New Jersey!!Total!!Estimate","Monmouth County, New Jersey!!Below poverty level!!Estimate","Monmouth County, New Jersey!!Percent below poverty level!!Estimate","Morris County, New Jersey!!Total!!Estimate","Morris County, New Jersey!!Below poverty level!!Estimate","Morris County, New Jersey!!Percent below poverty level!!Estimate","Ocean County, New Jersey!!Total!!Estimate","Ocean County, New Jersey!!Below poverty level!!Estimate","Ocean County, New Jersey!!Percent below poverty level!!Estimate","Passaic County, New Jersey!!Total!!Estimate","Passaic County, New Jersey!!Below poverty level!!Estimate","Passaic County, New Jersey!!Percent below poverty level!!Estimate","Salem County, New Jersey!!Total!!Estimate","Salem County, New Jersey!!Below poverty level!!Estimate","Salem County, New Jersey!!Percent below poverty level!!Estimate","Somerset County, New Jersey!!Total!!Estimate","Somerset County, New Jersey!!Below poverty level!!Estimate","Somerset County, New Jersey!!Percent below poverty level!!Estimate","Sussex County, New Jersey!!Total!!Estimate","Sussex County, New Jersey!!Below poverty level!!Estimate","Sussex County, New Jersey!!Percent below poverty level!!Estimate","Union County, New Jersey!!Total!!Estimate","Union County, New Jersey!!Below poverty level!!Estimate","Union County, New Jersey!!Percent below poverty level!!Estimate","Warren County, New Jersey!!Total!!Estimate","Warren County, New Jersey!!Below poverty level!!Estimate","Warren County, New Jersey!!Percent below poverty level!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Below poverty level!!Estimate","New Jersey!!Percent below poverty level!!Estimate"
"    150 percent of poverty level","63,754","(X)","(X)","117,548","(X)","(X)","45,817","(X)","(X)","102,856","(X)","(X)","17,175","(X)","(X)","41,952","(X)","(X)","202,364","(X)","(X)","36,505","(X)","(X)","174,823","(X)","(X)","8,695","(X)","(X)","62,990","(X)","(X)","113,693","(X)","(X)","77,977","(X)","(X)","42,883","(X)","(X)","108,459","(X)","(X)","131,620","(X)","(X)","13,596","(X)","(X)","29,100","(X)","(X)","14,875","(X)","(X)","101,900","(X)","(X)","14,618","(X)","(X)","1,523,200","(X)","(X)"
"    185 percent of poverty level","82,270","(X)","(X)","154,325","(X)","(X)","63,210","(X)","(X)","133,252","(X)","(X)","21,886","(X)","(X)","53,591","(X)","(X)","249,679","(X)","(X)","48,932","(X)","(X)","219,398","(X)","(X)","11,668","(X)","(X)","80,219","(X)","(X)","148,772","(X)","(X)","102,789","(X)","(X)","57,669","(X)","(X)","138,780","(X)","(X)","163,551","(X)","(X)","16,824","(X)","(X)","39,786","(X)","(X)","20,283","(X)","(X)","132,892","(X)","(X)","18,754","(X)","(X)","1,958,530","(X)","(X)"
"    200 percent of poverty level","89,897","(X)","(X)","169,353","(X)","(X)","72,121","(X)","(X)","143,952","(X)","(X)","23,811","(X)","(X)","57,166","(X)","(X)","269,105","(X)","(X)","54,247","(X)","(X)","236,761","(X)","(X)","13,458","(X)","(X)","87,091","(X)","(X)","165,945","(X)","(X)","112,143","(X)","(X)","63,171","(X)","(X)","152,020","(X)","(X)","175,188","(X)","(X)","18,192","(X)","(X)","44,033","(X)","(X)","22,776","(X)","(X)","144,833","(X)","(X)","20,563","(X)","(X)","2,135,826","(X)","(X)"
"Unrelated individuals for whom poverty status is determined","50,025","12,586","25.2%","125,810","23,107","18.4%","66,588","9,758","14.7%","86,531","19,458","22.5%","19,067","4,036","21.2%","25,463","7,240","28.4%","144,591","39,936","27.6%","40,463","9,127","22.6%","149,803","33,698","22.5%","16,595","2,223","13.4%","62,432","14,681","23.5%","114,321","24,214","21.2%","96,540","16,414","17.0%","70,994","9,551","13.5%","95,937","16,543","17.2%","67,034","17,205","25.7%","11,065","2,733","24.7%","43,767","6,340","14.5%","20,133","3,275","16.3%","82,937","18,708","22.6%","17,054","2,852","16.7%","1,407,150","293,685","20.9%"
"    Male","24,917","5,980","24.0%","56,766","8,755","15.4%","30,324","4,141","13.7%","39,864","8,123","20.4%","8,871","1,865","21.0%","12,028","3,052","25.4%","70,611","17,770","25.2%","18,974","4,082","21.5%","80,902","15,054","18.6%","7,893","944","12.0%","30,234","7,039","23.3%","53,830","10,186","18.9%","43,852","6,370","14.5%","32,644","3,784","11.6%","39,818","6,222","15.6%","32,722","7,000","21.4%","5,600","1,236","22.1%","20,102","2,948","14.7%","10,174","1,581","15.5%","40,405","8,144","20.2%","8,121","1,389","17.1%","668,652","125,665","18.8%"
"    Female","25,108","6,606","26.3%","69,044","14,352","20.8%","36,264","5,617","15.5%","46,667","11,335","24.3%","10,196","2,171","21.3%","13,435","4,188","31.2%","73,980","22,166","30.0%","21,489","5,045","23.5%","68,901","18,644","27.1%","8,702","1,279","14.7%","32,198","7,642","23.7%","60,491","14,028","23.2%","52,688","10,044","19.1%","38,350","5,767","15.0%","56,119","10,321","18.4%","34,312","10,205","29.7%","5,465","1,497","27.4%","23,665","3,392","14.3%","9,959","1,694","17.0%","42,532","10,564","24.8%","8,933","1,463","16.4%","738,498","168,020","22.8%"
"Mean income deficit for unrelated individuals (dollars)","6,734","(X)","(X)","6,710","(X)","(X)","6,707","(X)","(X)","6,580","(X)","(X)","5,966","(X)","(X)","5,932","(X)","(X)","6,447","(X)","(X)","6,833","(X)","(X)","6,929","(X)","(X)","6,655","(X)","(X)","6,635","(X)","(X)","7,534","(X)","(X)","6,528","(X)","(X)","6,558","(X)","(X)","6,318","(X)","(X)","6,805","(X)","(X)","6,402","(X)","(X)","5,949","(X)","(X)","6,416","(X)","(X)","6,619","(X)","(X)","6,818","(X)","(X)","6,671","(X)","(X)"
"Worked full-time, year-round in the past 12 months","18,842","735","3.9%","58,801","1,413","2.4%","30,438","256","0.8%","36,486","759","2.1%","6,147","77","1.3%","9,226","364","3.9%","61,523","1,824","3.0%","15,641","294","1.9%","81,882","1,657","2.0%","7,428","140","1.9%","25,767","588","2.3%","52,273","731","1.4%","40,983","765","1.9%","35,340","402","1.1%","29,795","771","2.6%","28,906","835","2.9%","3,687","128","3.5%","22,206","428","1.9%","8,413","164","1.9%","36,612","1,266","3.5%","7,134","171","2.4%","617,530","13,768","2.2%"
"Worked less than full-time, year-round in the past 12 months","12,617","3,838","30.4%","20,764","4,483","21.6%","12,591","2,753","21.9%","16,888","4,311","25.5%","4,588","1,301","28.4%","5,329","1,897","35.6%","29,498","9,746","33.0%","8,970","2,826","31.5%","27,281","8,748","32.1%","3,629","718","19.8%","13,442","4,294","31.9%","22,623","7,606","33.6%","20,289","5,490","27.1%","12,971","2,997","23.1%","17,520","4,344","24.8%","11,543","3,080","26.7%","2,575","923","35.8%","8,044","2,146","26.7%","4,679","994","21.2%","17,539","5,864","33.4%","3,798","927","24.4%","277,178","79,286","28.6%"
"Did not work","18,566","8,013","43.2%","46,245","17,211","37.2%","23,559","6,749","28.6%","33,157","14,388","43.4%","8,332","2,658","31.9%","10,908","4,979","45.6%","53,570","28,366","53.0%","15,852","6,007","37.9%","40,640","23,293","57.3%","5,538","1,365","24.6%","23,223","9,799","42.2%","39,425","15,877","40.3%","35,268","10,159","28.8%","22,683","6,152","27.1%","48,622","11,428","23.5%","26,585","13,290","50.0%","4,803","1,682","35.0%","13,517","3,766","27.9%","7,041","2,117","30.1%","28,786","11,578","40.2%","6,122","1,754","28.7%","512,442","200,631","39.2%"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Poverty status for individuals","31.3%","(X)","(X)","28.5%","(X)","(X)","23.9%","(X)","(X)","31.5%","(X)","(X)","24.1%","(X)","(X)","32.5%","(X)","(X)","35.1%","(X)","(X)","24.5%","(X)","(X)","33.6%","(X)","(X)","20.2%","(X)","(X)","31.5%","(X)","(X)","29.0%","(X)","(X)","29.4%","(X)","(X)","28.2%","(X)","(X)","27.4%","(X)","(X)","34.2%","(X)","(X)","28.2%","(X)","(X)","37.1%","(X)","(X)","24.5%","(X)","(X)","32.1%","(X)","(X)","25.1%","(X)","(X)","30.4%","(X)","(X)"
