"Label","Atlantic County, New Jersey!!Total!!Estimate","Atlantic County, New Jersey!!Below poverty level!!Estimate","Atlantic County, New Jersey!!Percent below poverty level!!Estimate","Bergen County, New Jersey!!Total!!Estimate","Bergen County, New Jersey!!Below poverty level!!Estimate","Bergen County, New Jersey!!Percent below poverty level!!Estimate","Burlington County, New Jersey!!Total!!Estimate","Burlington County, New Jersey!!Below poverty level!!Estimate","Burlington County, New Jersey!!Percent below poverty level!!Estimate","Camden County, New Jersey!!Total!!Estimate","Camden County, New Jersey!!Below poverty level!!Estimate","Camden County, New Jersey!!Percent below poverty level!!Estimate","Cape May County, New Jersey!!Total!!Estimate","Cape May County, New Jersey!!Below poverty level!!Estimate","Cape May County, New Jersey!!Percent below poverty level!!Estimate","Cumberland County, New Jersey!!Total!!Estimate","Cumberland County, New Jersey!!Below poverty level!!Estimate","Cumberland County, New Jersey!!Percent below poverty level!!Estimate","Essex County, New Jersey!!Total!!Estimate","Essex County, New Jersey!!Below poverty level!!Estimate","Essex County, New Jersey!!Percent below poverty level!!Estimate","Gloucester County, New Jersey!!Total!!Estimate","Gloucester County, New Jersey!!Below poverty level!!Estimate","Gloucester County, New Jersey!!Percent below poverty level!!Estimate","Hudson County, New Jersey!!Total!!Estimate","Hudson County, New Jersey!!Below poverty level!!Estimate","Hudson County, New Jersey!!Percent below poverty level!!Estimate","Hunterdon County, New Jersey!!Total!!Estimate","Hunterdon County, New Jersey!!Below poverty level!!Estimate","Hunterdon County, New Jersey!!Percent below poverty level!!Estimate","Mercer County, New Jersey!!Total!!Estimate","Mercer County, New Jersey!!Below poverty level!!Estimate","Mercer County, New Jersey!!Percent below poverty level!!Estimate","Middlesex County, New Jersey!!Total!!Estimate","Middlesex County, New Jersey!!Below poverty level!!Estimate","Middlesex County, New Jersey!!Percent below poverty level!!Estimate","Monmouth County, New Jersey!!Total!!Estimate","Monmouth County, New Jersey!!Below poverty level!!Estimate","Monmouth County, New Jersey!!Percent below poverty level!!Estimate","Morris County, New Jersey!!Total!!Estimate","Morris County, New Jersey!!Below poverty level!!Estimate","Morris County, New Jersey!!Percent below poverty level!!Estimate","Ocean County, New Jersey!!Total!!Estimate","Ocean County, New Jersey!!Below poverty level!!Estimate","Ocean County, New Jersey!!Percent below poverty level!!Estimate","Passaic County, New Jersey!!Total!!Estimate","Passaic County, New Jersey!!Below poverty level!!Estimate","Passaic County, New Jersey!!Percent below poverty level!!Estimate","Salem County, New Jersey!!Total!!Estimate","Salem County, New Jersey!!Below poverty level!!Estimate","Salem County, New Jersey!!Percent below poverty level!!Estimate","Somerset County, New Jersey!!Total!!Estimate","Somerset County, New Jersey!!Below poverty level!!Estimate","Somerset County, New Jersey!!Percent below poverty level!!Estimate","Sussex County, New Jersey!!Total!!Estimate","Sussex County, New Jersey!!Below poverty level!!Estimate","Sussex County, New Jersey!!Percent below poverty level!!Estimate","Union County, New Jersey!!Total!!Estimate","Union County, New Jersey!!Below poverty level!!Estimate","Union County, New Jersey!!Percent below poverty level!!Estimate","Warren County, New Jersey!!Total!!Estimate","Warren County, New Jersey!!Below poverty level!!Estimate","Warren County, New Jersey!!Percent below poverty level!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Below poverty level!!Estimate","New Jersey!!Percent below poverty level!!Estimate"
"        Worked part-time or part-year in the past 12 months","59,528","8,674","14.6%","161,364","11,799","7.3%","86,332","6,480","7.5%","99,608","11,554","11.6%","22,878","2,383","10.4%","27,230","5,223","19.2%","142,418","25,867","18.2%","60,477","6,301","10.4%","113,562","23,095","20.3%","25,068","1,323","5.3%","69,493","8,034","11.6%","139,953","16,279","11.6%","126,120","10,976","8.7%","94,492","5,255","5.6%","113,486","12,206","10.8%","77,546","9,109","11.7%","12,336","1,765","14.3%","58,152","3,762","6.5%","30,853","1,981","6.4%","101,617","11,852","11.7%","22,819","1,994","8.7%","1,645,332","185,912","11.3%"
"        Did not work","73,340","15,680","21.4%","242,056","36,320","15.0%","107,933","13,378","12.4%","130,438","30,427","23.3%","28,746","4,835","16.8%","41,510","11,149","26.9%","209,823","59,691","28.4%","70,534","10,346","14.7%","166,017","51,399","31.0%","27,477","2,554","9.3%","89,396","17,559","19.6%","208,867","31,911","15.3%","159,735","20,784","13.0%","114,174","11,289","9.9%","180,098","24,656","13.7%","141,065","39,800","28.2%","18,685","3,515","18.8%","75,997","7,655","10.1%","34,060","4,100","12.0%","133,985","24,544","18.3%","26,458","3,598","13.6%","2,280,394","425,190","18.6%"
"ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    50 percent of poverty level","17,338","(X)","(X)","33,334","(X)","(X)","14,112","(X)","(X)","32,250","(X)","(X)","4,406","(X)","(X)","12,043","(X)","(X)","60,093","(X)","(X)","10,864","(X)","(X)","50,140","(X)","(X)","2,484","(X)","(X)","18,570","(X)","(X)","33,743","(X)","(X)","21,068","(X)","(X)","10,216","(X)","(X)","27,856","(X)","(X)","37,084","(X)","(X)","4,489","(X)","(X)","7,244","(X)","(X)","3,803","(X)","(X)","26,140","(X)","(X)","3,303","(X)","(X)","430,580","(X)","(X)"
"    125 percent of poverty level","52,219","(X)","(X)","91,800","(X)","(X)","37,848","(X)","(X)","85,501","(X)","(X)","13,474","(X)","(X)","34,074","(X)","(X)","171,138","(X)","(X)","29,938","(X)","(X)","145,557","(X)","(X)","6,738","(X)","(X)","52,823","(X)","(X)","93,454","(X)","(X)","61,549","(X)","(X)","33,138","(X)","(X)","88,099","(X)","(X)","108,785","(X)","(X)","11,304","(X)","(X)","23,810","(X)","(X)","11,122","(X)","(X)","81,378","(X)","(X)","11,202","(X)","(X)","1,244,951","(X)","(X)"
"    150 percent of poverty level","63,799","(X)","(X)","116,896","(X)","(X)","48,387","(X)","(X)","103,415","(X)","(X)","17,199","(X)","(X)","43,249","(X)","(X)","206,187","(X)","(X)","36,663","(X)","(X)","176,165","(X)","(X)","8,714","(X)","(X)","65,255","(X)","(X)","117,547","(X)","(X)","77,662","(X)","(X)","42,273","(X)","(X)","108,684","(X)","(X)","132,554","(X)","(X)","13,626","(X)","(X)","28,993","(X)","(X)","14,211","(X)","(X)","104,080","(X)","(X)","14,205","(X)","(X)","1,539,764","(X)","(X)"
"    185 percent of poverty level","82,870","(X)","(X)","149,393","(X)","(X)","65,082","(X)","(X)","132,552","(X)","(X)","21,877","(X)","(X)","53,948","(X)","(X)","256,136","(X)","(X)","48,169","(X)","(X)","219,480","(X)","(X)","11,330","(X)","(X)","84,579","(X)","(X)","153,316","(X)","(X)","101,634","(X)","(X)","56,860","(X)","(X)","139,027","(X)","(X)","161,271","(X)","(X)","16,799","(X)","(X)","38,994","(X)","(X)","19,915","(X)","(X)","135,875","(X)","(X)","18,939","(X)","(X)","1,968,046","(X)","(X)"
"    200 percent of poverty level","89,610","(X)","(X)","164,662","(X)","(X)","73,453","(X)","(X)","143,750","(X)","(X)","24,118","(X)","(X)","58,409","(X)","(X)","273,368","(X)","(X)","53,060","(X)","(X)","236,850","(X)","(X)","12,723","(X)","(X)","90,207","(X)","(X)","169,565","(X)","(X)","111,076","(X)","(X)","62,391","(X)","(X)","151,658","(X)","(X)","173,860","(X)","(X)","18,043","(X)","(X)","42,973","(X)","(X)","22,309","(X)","(X)","149,569","(X)","(X)","20,580","(X)","(X)","2,142,234","(X)","(X)"
"    300 percent of poverty level","134,898","(X)","(X)","265,528","(X)","(X)","135,058","(X)","(X)","215,249","(X)","(X)","39,087","(X)","(X)","82,298","(X)","(X)","381,765","(X)","(X)","92,805","(X)","(X)","339,445","(X)","(X)","22,808","(X)","(X)","133,750","(X)","(X)","271,537","(X)","(X)","179,577","(X)","(X)","106,819","(X)","(X)","241,404","(X)","(X)","242,836","(X)","(X)","27,227","(X)","(X)","75,914","(X)","(X)","39,564","(X)","(X)","225,644","(X)","(X)","36,104","(X)","(X)","3,289,317","(X)","(X)"
"    400 percent of poverty level","171,026","(X)","(X)","368,416","(X)","(X)","195,648","(X)","(X)","285,110","(X)","(X)","52,212","(X)","(X)","100,815","(X)","(X)","465,693","(X)","(X)","130,887","(X)","(X)","413,499","(X)","(X)","34,766","(X)","(X)","172,954","(X)","(X)","375,527","(X)","(X)","246,870","(X)","(X)","157,831","(X)","(X)","320,817","(X)","(X)","301,112","(X)","(X)","35,900","(X)","(X)","110,244","(X)","(X)","58,853","(X)","(X)","291,115","(X)","(X)","50,793","(X)","(X)","4,340,088","(X)","(X)"
"    500 percent of poverty level","199,515","(X)","(X)","467,344","(X)","(X)","252,098","(X)","(X)","343,403","(X)","(X)","64,162","(X)","(X)","115,212","(X)","(X)","534,729","(X)","(X)","170,748","(X)","(X)","473,205","(X)","(X)","47,645","(X)","(X)","208,014","(X)","(X)","471,665","(X)","(X)","314,884","(X)","(X)","210,249","(X)","(X)","391,848","(X)","(X)","351,394","(X)","(X)","43,656","(X)","(X)","146,818","(X)","(X)","78,798","(X)","(X)","346,232","(X)","(X)","64,627","(X)","(X)","5,296,246","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","49,217","12,242","24.9%","127,042","23,811","18.7%","68,193","10,642","15.6%","85,725","20,124","23.5%","19,001","3,903","20.5%","25,756","7,883","30.6%","144,092","41,237","28.6%","42,680","10,092","23.6%","152,778","35,915","23.5%","16,961","2,314","13.6%","60,208","13,980","23.2%","112,533","24,513","21.8%","96,000","17,452","18.2%","69,977","9,637","13.8%","97,154","16,780","17.3%","66,750","18,319","27.4%","11,628","2,938","25.3%","44,641","6,565","14.7%","21,242","3,560","16.8%","80,978","18,743","23.1%","17,429","3,028","17.4%","1,409,985","303,678","21.5%"
"    Male","24,203","6,178","25.5%","57,493","9,265","16.1%","30,390","4,696","15.5%","40,431","8,505","21.0%","8,929","1,794","20.1%","11,975","3,297","27.5%","70,805","18,977","26.8%","19,920","4,445","22.3%","82,091","15,987","19.5%","7,852","1,029","13.1%","28,884","6,490","22.5%","53,277","10,427","19.6%","43,921","6,798","15.5%","32,549","3,951","12.1%","40,878","6,244","15.3%","32,410","7,781","24.0%","5,581","1,361","24.4%","20,423","3,117","15.3%","10,579","1,705","16.1%","38,923","7,645","19.6%","8,617","1,438","16.7%","670,131","131,130","19.6%"
"    Female","25,014","6,064","24.2%","69,549","14,546","20.9%","37,803","5,946","15.7%","45,294","11,619","25.7%","10,072","2,109","20.9%","13,781","4,586","33.3%","73,287","22,260","30.4%","22,760","5,647","24.8%","70,687","19,928","28.2%","9,109","1,285","14.1%","31,324","7,490","23.9%","59,256","14,086","23.8%","52,079","10,654","20.5%","37,428","5,686","15.2%","56,276","10,536","18.7%","34,340","10,538","30.7%","6,047","1,577","26.1%","24,218","3,448","14.2%","10,663","1,855","17.4%","42,055","11,098","26.4%","8,812","1,590","18.0%","739,854","172,548","23.3%"
"15 years","121","121","100.0%","74","74","100.0%","144","144","100.0%","140","140","100.0%","11","11","100.0%","16","16","100.0%","192","192","100.0%","67","67","100.0%","143","143","100.0%","58","58","100.0%","120","120","100.0%","91","91","100.0%","71","71","100.0%","38","38","100.0%","199","175","87.9%","61","54","88.5%","14","14","100.0%","45","45","100.0%","47","47","100.0%","104","104","100.0%","19","12","63.2%","1,775","1,737","97.9%"
"16 to 17 years","217","196","90.3%","211","211","100.0%","242","226","93.4%","318","318","100.0%","102","59","57.8%","58","58","100.0%","261","261","100.0%","141","141","100.0%","261","261","100.0%","0","0","-","146","136","93.2%","336","336","100.0%","214","194","90.7%","160","160","100.0%","349","320","91.7%","127","117","92.1%","24","24","100.0%","35","35","100.0%","81","81","100.0%","184","184","100.0%","61","57","93.4%","3,528","3,375","95.7%"
"18 to 24 years","2,996","1,531","51.1%","5,059","1,968","38.9%","3,653","1,170","32.0%","5,448","2,407","44.2%","931","330","35.4%","1,556","776","49.9%","8,853","4,971","56.2%","4,044","2,839","70.2%","12,397","6,221","50.2%","619","251","40.5%","4,497","2,340","52.0%","9,825","6,052","61.6%","4,771","2,266","47.5%","3,661","1,505","41.1%","4,095","1,802","44.0%","2,899","1,422","49.1%","757","420","55.5%","2,095","1,001","47.8%","1,094","459","42.0%","4,105","2,057","50.1%","1,066","471","44.2%","84,421","42,259","50.1%"
"25 to 34 years","7,973","1,891","23.7%","22,177","3,574","16.1%","12,226","1,926","15.8%","16,774","3,143","18.7%","2,374","532","22.4%","4,417","1,381","31.3%","27,964","7,424","26.5%","7,392","1,509","20.4%","51,498","7,407","14.4%","2,135","395","18.5%","11,459","2,643","23.1%","22,771","3,925","17.2%","16,363","2,890","17.7%","13,010","1,507","11.6%","13,183","2,060","15.6%","11,746","3,102","26.4%","1,712","448","26.2%","7,563","878","11.6%","3,471","559","16.1%","14,916","3,670","24.6%","2,823","422","14.9%","273,947","51,286","18.7%"
"35 to 44 years","5,622","1,430","25.4%","17,353","3,043","17.5%","7,249","1,061","14.6%","10,470","2,546","24.3%","1,745","383","21.9%","3,343","1,126","33.7%","23,355","5,823","24.9%","4,648","1,013","21.8%","24,634","4,492","18.2%","2,040","291","14.3%","7,653","1,563","20.4%","14,772","2,550","17.3%","10,990","1,880","17.1%","8,646","854","9.9%","8,165","1,585","19.4%","9,902","2,464","24.9%","1,373","367","26.7%","5,439","783","14.4%","2,419","383","15.8%","12,661","2,714","21.4%","1,765","244","13.8%","184,244","36,595","19.9%"
"45 to 54 years","8,547","2,241","26.2%","19,438","3,599","18.5%","12,073","2,288","19.0%","14,994","3,443","23.0%","2,983","687","23.0%","3,975","1,186","29.8%","24,735","6,749","27.3%","7,200","1,386","19.3%","21,614","5,070","23.5%","2,949","483","16.4%","9,206","2,225","24.2%","16,710","2,881","17.2%","15,509","2,914","18.8%","11,742","1,280","10.9%","12,452","2,463","19.8%","11,687","3,286","28.1%","2,008","522","26.0%","7,686","1,095","14.2%","3,948","680","17.2%","14,035","3,031","21.6%","3,131","537","17.2%","226,622","48,046","21.2%"
"55 to 64 years","9,560","2,478","25.9%","22,530","4,006","17.8%","11,993","1,625","13.5%","14,659","3,829","26.1%","3,641","680","18.7%","5,295","1,663","31.4%","24,655","7,372","29.9%","7,434","1,382","18.6%","18,452","4,595","24.9%","3,451","408","11.8%","11,062","2,418","21.9%","17,986","3,701","20.6%","18,038","3,079","17.1%","11,206","1,555","13.9%","15,564","3,028","19.5%","11,900","3,548","29.8%","2,122","579","27.3%","8,672","1,186","13.7%","4,370","703","16.1%","13,892","3,344","24.1%","3,634","789","21.7%","240,116","51,968","21.6%"
"65 to 74 years","7,297","1,220","16.7%","16,393","2,792","17.0%","9,432","970","10.3%","11,146","2,072","18.6%","3,204","476","14.9%","3,965","777","19.6%","17,721","4,682","26.4%","5,578","877","15.7%","12,035","3,421","28.4%","3,079","175","5.7%","7,446","1,280","17.2%","13,638","2,308","16.9%","13,287","1,637","12.3%","9,726","1,162","11.9%","17,850","2,232","12.5%","8,896","2,263","25.4%","1,813","282","15.6%","6,454","674","10.4%","2,971","319","10.7%","10,253","1,691","16.5%","2,431","167","6.9%","184,615","31,477","17.1%"
"75 years and over","6,884","1,134","16.5%","23,807","4,544","19.1%","11,181","1,232","11.0%","11,776","2,226","18.9%","4,010","745","18.6%","3,131","900","28.7%","16,356","3,763","23.0%","6,176","878","14.2%","11,744","4,305","36.7%","2,630","253","9.6%","8,619","1,255","14.6%","16,404","2,669","16.3%","16,757","2,521","15.0%","11,788","1,576","13.4%","25,297","3,115","12.3%","9,532","2,063","21.6%","1,805","282","15.6%","6,652","868","13.0%","2,841","329","11.6%","10,828","1,948","18.0%","2,499","329","13.2%","210,717","36,935","17.5%"
"Mean income deficit for unrelated individuals (dollars)","6,641","(X)","(X)","7,008","(X)","(X)","7,128","(X)","(X)","6,869","(X)","(X)","6,103","(X)","(X)","5,998","(X)","(X)","6,804","(X)","(X)","6,992","(X)","(X)","7,181","(X)","(X)","7,289","(X)","(X)","6,915","(X)","(X)","7,625","(X)","(X)","6,604","(X)","(X)","7,027","(X)","(X)","6,411","(X)","(X)","6,886","(X)","(X)","6,553","(X)","(X)","6,587","(X)","(X)","6,868","(X)","(X)","6,871","(X)","(X)","7,538","(X)","(X)","6,909","(X)","(X)"
"Worked full-time, year-round in the past 12 months","18,423","861","4.7%","59,378","1,319","2.2%","30,454","437","1.4%","36,011","954","2.6%","6,091","112","1.8%","9,127","342","3.7%","60,143","1,669","2.8%","16,793","412","2.5%","84,654","2,095","2.5%","7,894","176","2.2%","24,801","571","2.3%","50,022","765","1.5%","40,104","944","2.4%","34,189","425","1.2%","31,272","701","2.2%","29,315","934","3.2%","4,169","160","3.8%","22,819","607","2.7%","9,595","125","1.3%","35,995","1,356","3.8%","7,348","113","1.5%","618,597","15,078","2.4%"
"Worked less than full-time, year-round in the past 12 months","11,539","3,612","31.3%","21,809","5,040","23.1%","13,302","3,018","22.7%","16,278","4,568","28.1%","4,463","1,130","25.3%","5,101","2,006","39.3%","29,742","10,728","36.1%","9,499","3,467","36.5%","27,461","9,198","33.5%","3,329","662","19.9%","12,702","4,178","32.9%","22,997","8,084","35.2%","19,987","5,415","27.1%","13,350","2,804","21.0%","17,277","4,250","24.6%","10,287","3,049","29.6%","2,408","848","35.2%","7,629","1,929","25.3%","4,384","1,135","25.9%","16,877","5,494","32.6%","3,812","912","23.9%","274,233","81,527","29.7%"
"Did not work","19,255","7,769","40.3%","45,855","17,452","38.1%","24,437","7,187","29.4%","33,436","14,602","43.7%","8,447","2,661","31.5%","11,528","5,535","48.0%","54,207","28,840","53.2%","16,388","6,213","37.9%","40,663","24,622","60.6%","5,738","1,476","25.7%","22,705","9,231","40.7%","39,514","15,664","39.6%","35,909","11,093","30.9%","22,438","6,408","28.6%","48,605","11,829","24.3%","27,148","14,336","52.8%","5,051","1,930","38.2%","14,193","4,029","28.4%","7,263","2,300","31.7%","28,106","11,893","42.3%","6,269","2,003","32.0%","517,155","207,073","40.0%"
